
list-none-none,1,10,1,30,190145,6338
list-none-none,1,100,1,300,165004,550
list-none-none,1,1000,1,3000,3520731,1173
list-none-none,1,10000,1,30000,655688832,21856
list-none-none,1,20000,1,60000,3466331183,57772
list-none-none,2,1,1,6,172042,28673
list-none-none,2,10,1,60,169134,2818
list-none-none,4,1,1,12,163382,13615
list-none-none,8,1,1,24,278018,11584
list-none-none,8,10,1,240,299874,1249
list-i-none,2,1,1,6,126799,21133
list-i-none,4,1,1,12,168956,14079
list-i-none,8,2,1,48,254067,5293
list-i-none,12,1,1,36,448193,12449
list-i-none,12,1,1,36,360193,10005
list-i-none,12,1,1,36,358519,9958
list-i-none,12,1,1,36,342713,9519
list-i-none,12,1,1,36,380945,10581
list-i-none,12,1,1,36,377918,10497
list-i-none,12,1,1,36,356877,9913
list-d-none,2,1,1,6,77918,12986
list-d-none,2,2,1,12,82923,6910
list-d-none,2,4,1,24,83274,3469
list-d-none,4,1,1,12,156623,13051
list-d-none,4,8,1,96,129626,1350
list-d-none,8,1,1,24,291702,12154
list-d-none,8,4,1,96,258073,2688
list-d-none,12,1,1,36,416899,11580
list-d-none,12,1,1,36,413175,11477
list-d-none,12,1,1,36,364256,10118
list-d-none,12,1,1,36,376656,10462
list-d-none,12,1,1,36,449138,12476
list-d-none,12,1,1,36,418745,11631
list-d-none,12,4,1,144,355119,2466
list-il-none,2,2,1,12,125659,10471
list-il-none,4,1,1,12,171654,14304
list-il-none,4,32,1,384,1371981,3572
list-il-none,8,2,1,48,256234,5338
list-il-none,12,1,1,36,403367,11204
list-il-none,12,1,1,36,1074454,29845
list-il-none,12,1,1,36,312531,8681
list-il-none,12,1,1,36,341226,9478
list-il-none,12,4,1,144,338698,2352
list-dl-none,2,1,1,6,133496,22249
list-dl-none,2,2,1,12,144931,12077
list-dl-none,2,4,1,24,136221,5675
list-dl-none,2,8,1,48,120811,2516
list-dl-none,2,32,1,192,428517,2231
list-dl-none,4,8,1,96,187904,1957
list-dl-none,8,1,1,24,304827,12701
list-dl-none,8,2,1,48,243763,5078
list-dl-none,8,4,1,96,269220,2804
list-dl-none,12,1,1,36,426484,11846
list-dl-none,12,1,1,36,442390,12288
list-dl-none,12,1,1,36,330107,9169
list-dl-none,12,1,1,36,435796,12105
list-i-m,12,32,1,1152,15552829,13500
list-d-m,12,32,1,1152,2004076,1739
list-il-m,12,32,1,1152,17793318,15445
list-dl-m,12,32,1,1152,10738651,9321
list-i-s,12,32,1,1152,16732465,14524
list-d-s,12,32,1,1152,3901690,3386
list-il-s,12,32,1,1152,27866925,24190
list-dl-s,12,32,1,1152,12919540,11214
list-none-s,1,1000,1,3000,3587168,1195
list-none-s,2,1000,1,6000,16952659,2825
list-none-s,4,1000,1,12000,231138348,19261
list-none-s,8,1000,1,24000,1372309169,57179
list-none-s,12,1000,1,36000,2153949468,59831
list-none-s,16,1000,1,48000,4788004031,99750
list-none-s,24,1000,1,72000,16260971906,225846
list-none-m,1,1000,1,3000,3505944,1168
list-none-m,2,1000,1,6000,23075442,3845
list-none-m,4,1000,1,12000,91271284,7605
list-none-m,8,1000,1,24000,411126342,17130
list-none-m,12,1000,1,36000,858368330,23843
list-none-m,16,1000,1,48000,1960664267,40847
list-none-m,24,1000,1,72000,4725099521,65626
