
add-none,1,100,200,95000,475,0
add-none,1,1000,2000,122000,61,0
add-none,1,10000,20000,218000,10,0
add-none,1,100000,200000,1669000,8,0
add-none,2,100,400,162000,405,6
add-none,2,1000,4000,156000,39,-103
add-none,2,10000,40000,768000,19,2140
add-none,2,100000,400000,7918000,19,926
add-none,3,100,600,173000,288,10
add-none,3,1000,6000,194000,32,0
add-none,3,10000,60000,1065000,17,7148
add-none,3,100000,600000,9582000,15,45032
add-yield-none,2,10,40,168000,4200,0
add-yield-none,2,20,80,160000,2000,0
add-yield-none,2,40,160,179000,1118,0
add-yield-none,2,80,320,309000,965,16
add-yield-none,2,100,400,710000,1775,6
add-yield-none,2,1000,4000,2067000,516,-1
add-yield-none,2,10000,40000,14861000,371,107
add-yield-none,2,100000,400000,136009000,340,236
add-yield-none,4,10,80,210000,2625,-1
add-yield-none,4,20,160,238000,1487,-5
add-yield-none,4,40,320,276000,862,-5
add-yield-none,4,80,640,326000,509,2
add-yield-none,4,100,800,375000,468,4
add-yield-none,4,1000,8000,2059000,257,7
add-yield-none,4,10000,80000,19977000,249,225
add-yield-none,4,100000,800000,182052000,227,999
add-yield-none,8,10,160,433000,2706,-5
add-yield-none,8,20,320,678000,2118,-7
add-yield-none,8,40,640,1131000,1767,-3
add-yield-none,8,80,1280,1535000,1199,-8
add-yield-none,8,100,1600,2066000,1291,-5
add-yield-none,8,1000,16000,14826000,926,-7
add-yield-none,8,10000,160000,146376000,914,46
add-yield-none,8,100000,1600000,1501179000,938,49
add-yield-none,12,10,240,527000,2195,-9
add-yield-none,12,20,480,779000,1622,-8
add-yield-none,12,40,960,1190000,1239,-8
add-yield-none,12,80,1920,2037000,1060,-11
add-yield-none,12,100,2400,2525000,1052,-6
add-yield-none,12,1000,24000,23848000,993,9
add-yield-none,12,10000,240000,238272000,992,10
add-yield-none,12,100000,2400000,2274067000,947,232
add-none,2,100,400,132000,330,0
add-none,2,1000,4000,142000,35,604
add-none,2,10000,40000,749000,18,4544
add-none,2,100000,400000,7055000,17,20243
add-none,8,100,1600,283000,176,0
add-none,8,1000,16000,430000,26,364
add-none,8,10000,160000,2717000,16,-4162
add-none,8,100000,1600000,23434000,14,-9958
add-yield-m,2,10000,40000,220684000,5517,0
add-yield-m,4,10000,80000,558795000,6984,0
add-yield-m,8,10000,160000,1002080000,6263,0
add-yield-m,12,10000,240000,1834149000,7642,0
add-yield-c,2,10000,40000,15646000,391,0
add-yield-c,4,10000,80000,49956000,624,0
add-yield-c,8,10000,160000,164534000,1028,0
add-yield-c,12,10000,240000,245357000,1022,0
add-yield-s,2,10000,40000,31211000,780,0
add-yield-s,4,10000,80000,116867000,1460,0
add-none,1,10000,20000,250000,12,0
